onnx_file,vnnlib_file,verdict,q,worst_max_margin,amls_levels_used,wall_s,error
ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,6.869822,,6,39.4,
ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,6.133806,,4,39.6,
ACASXU_run2a_1_6_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,4.989225,,1,41.4,
ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,UNKNOWN,16.089657,,9,49.4,
ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,SAT,,,,8.1,
ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,SAT,,,,3.8,
ACASXU_run2a_3_2_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,7.486212,,1,38.8,
ACASXU_run2a_5_3_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,10.292393,,1,38.2,
ACASXU_run2a_2_9_batch_2000.onnx,prop_8.vnnlib,UNKNOWN,7.186867,,30,70.3,
ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,UNSAT,5.146644,,30,58.5,
